NumeroEstudiante;RUN;Cohorte;Bloqueo;Causal_Bloqueo;Ultima_carga;Fecha_logro;Logro
595839;8851756;2011-01;S;ALUMNO CON DEUDA MOROSA;2011-01;2011-01;INGRESO
554803;9658364;2003-01;S;BLOQUEO POR NO INSCRIPCION;2005-01;2004-01;PRIMER AÑO
472790;16604503;2003-01;S;BLOQUEO POR NO INSCRIPCION;2003-02;2003-01;INGRESO
627056;22681230;2002-01;S;ALUMNO EGRESADO;2006-01;2004-01;SEGUNDO AÑO
479998;24193001;2002-01;S;ALUMNO EGRESADO;2006-02;2004-01;SEGUNDO AÑO
581881;22157183;2003-01;S;ALUMNO EGRESADO;2008-02;2005-01;SEGUNDO AÑO
420671;8294886;2005-01;S;ALUMNO LICENCIADO;2008-02;2008-02;QUINTO AÑO- EGRESO
392966;5265694;2002-01;S;CAMBIO DE PLAN O CARRERA;2005-01;2003-01;PRIMER AÑO
508946;18013543;2002-01;S;CAMBIO DE PLAN O CARRERA;-;2009-01;1 SEMESTRE
449300;15523100;2002-01;S;BLOQUEO POR NO INSCRIPCION;2010-02;2009-01;2 SEMESTRE
419121;16664041;2009-01;N;Sin Bloqueo;2015-01;2015-01;10 SEMESTRE - EGRESO
606822;7795163;2008-02;S;ALUMNO EGRESADO;2009-01;2009-01;QUINTO AÑO - EGRESO
371968;20324484;2002-01;S;ALUMNO EGRESADO;2008-02;2004-01;SEGUNDO AÑO
629280;6485063;2013-01;N;Sin Bloqueo;2019-02;2019-02;10 SEMESTRE - EGRESO
391010;18313286;2002-01;S;ALUMNO CON DEUDA MOROSA;2008-02;2005-01;SEGUNDO AÑO
529838;12700875;2002-01;S;ALUMNO CON DEUDA MOROSA;2009-01;2009-01;CUARTO AÑO
548689;25228658;2003-01;S;ALUMNO EGRESADO;2007-01;2007-01;QUINTO AÑO- EGRESO
506804;24490805;2009-01;S;CAMBIO DE PLAN O CARRERA;-;2009-01;INGRESO
